Metric,1,2,3,4,5,6,7
Median,29.24702380952380,56.18191964285710,76.16071428571430,89.30840773809520,96.46502976190480,99.90438988095240,99.99925595238100
Average,30.97981547619050,56.921959077381000,74.13786160714280,85.41745684523810,92.36096726190500,96.44264360119090,98.67986086309570
p75,37.641183035714300,69.0093005952381,87.6484375,96.0600818452381,99.55970982142860,99.99925595238100,99.99925595238100
p25,22.65941220238100,45.12090773809520,64.32607886904760,79.30375744047620,90.49888392857140,97.28404017857140,99.86923363095240
p5,13.819419642857100,29.448177083333300,44.23136160714290,58.78887648809520,72.34549851190480,85.86428571428570,98.45074404761910
p95,53.33218005952380,85.54639136904760,96.43597470238100,99.99925595238100,99.99925595238100,99.99925595238100,99.99925595238100
