,HPTN084,TDF2,Partners,VOICE,FEM
0,93.0,71.0,93.0,62.0,73.0
1,79.0,81.0,82.0,91.0,89.0
2,78.0,1.0,86.0,96.0,87.0
3,32.0,77.0,92.0,51.0,99.0
4,97.0,97.0,77.0,41.0,96.0
5,65.0,68.0,93.0,53.0,36.0
6,90.0,71.0,94.0,93.0,17.0
7,94.0,92.0,88.0,22.0,1.0
8,82.0,85.0,89.0,44.0,7.000000000000001
9,74.0,61.0,89.0,57.00000000000001,53.0
10,61.0,82.0,76.0,14.000000000000002,32.0
11,99.0,56.00000000000001,98.0,41.0,20.0
12,93.0,37.0,93.0,96.0,31.0
13,75.0,84.0,98.0,22.0,41.0
14,51.0,78.0,80.0,49.0,77.0
15,99.0,60.0,69.0,54.0,46.0
16,89.0,80.0,99.0,96.0,49.0
17,83.0,84.0,87.0,43.0,23.0
18,94.0,69.0,89.0,93.0,9.0
19,88.0,85.0,96.0,94.0,51.0
20,98.0,32.0,91.0,94.0,81.0
21,53.0,91.0,92.0,46.0,9.0
22,69.0,26.0,94.0,15.0,47.0
23,98.0,1.0,86.0,19.0,4.0
24,57.99999999999999,57.99999999999999,78.0,30.0,93.0
25,89.0,95.0,99.0,12.0,42.0
26,78.0,70.0,98.0,93.0,13.0
27,52.0,59.0,17.0,97.0,92.0
28,56.00000000000001,78.0,92.0,89.0,98.0
29,92.0,90.0,69.0,0.0,71.0
30,99.0,83.0,83.0,45.0,56.00000000000001
31,90.0,88.0,74.0,87.0,35.0
32,52.0,61.0,83.0,93.0,28.000000000000004
33,82.0,83.0,98.0,24.0,17.0
34,95.0,75.0,95.0,36.0,44.0
35,95.0,10.0,99.0,95.0,21.0
36,99.0,99.0,99.0,96.0,71.0
37,87.0,78.0,96.0,3.0,12.0
38,99.0,72.0,88.0,42.0,40.0
39,99.0,70.0,95.0,94.0,33.0
40,82.0,70.0,85.0,93.0,2.0
41,98.0,91.0,97.0,47.0,4.0
42,98.0,89.0,90.0,7.000000000000001,43.0
43,98.0,94.0,91.0,81.0,51.0
44,86.0,72.0,47.0,50.0,72.0
45,79.0,34.0,94.0,99.0,74.0
46,79.0,83.0,67.0,49.0,89.0
47,96.0,42.0,54.0,99.0,64.0
48,99.0,16.0,95.0,51.0,35.0
49,91.0,90.0,92.0,23.0,91.0
50,97.0,97.0,28.000000000000004,94.0,25.0
51,75.0,42.0,94.0,31.0,33.0
52,98.0,86.0,98.0,98.0,1.0
53,99.0,98.0,94.0,95.0,98.0
54,73.0,99.0,85.0,14.000000000000002,33.0
55,99.0,83.0,94.0,62.0,54.0
56,74.0,81.0,99.0,70.0,56.00000000000001
57,85.0,91.0,83.0,94.0,30.0
58,86.0,68.0,64.0,0.0,79.0
59,85.0,95.0,81.0,98.0,90.0
60,99.0,61.0,95.0,45.0,47.0
61,90.0,76.0,94.0,98.0,7.000000000000001
62,93.0,43.0,99.0,10.0,17.0
63,99.0,82.0,92.0,69.0,89.0
64,93.0,68.0,75.0,63.0,78.0
65,75.0,49.0,97.0,97.0,91.0
66,97.0,51.0,59.0,88.0,99.0
67,97.0,94.0,96.0,48.0,37.0
68,98.0,44.0,96.0,1.0,1.0
69,76.0,16.0,95.0,1.0,25.0
70,73.0,96.0,99.0,33.0,42.0
71,90.0,97.0,86.0,17.0,17.0
72,84.0,70.0,92.0,79.0,57.00000000000001
73,72.0,66.0,92.0,97.0,85.0
74,99.0,92.0,87.0,69.0,86.0
75,84.0,50.0,99.0,26.0,8.0
76,97.0,87.0,85.0,99.0,43.0
77,88.0,73.0,97.0,74.0,86.0
78,49.0,99.0,95.0,32.0,17.0
79,98.0,77.0,77.0,25.0,55.00000000000001
80,94.0,80.0,98.0,98.0,91.0
81,77.0,62.0,95.0,87.0,43.0
82,76.0,90.0,97.0,62.0,64.0
83,33.0,66.0,88.0,54.0,1.0
84,88.0,88.0,84.0,95.0,0.0
85,97.0,47.0,99.0,80.0,87.0
86,95.0,83.0,88.0,48.0,5.0
87,78.0,90.0,80.0,1.0,65.0
88,74.0,98.0,86.0,87.0,47.0
89,88.0,98.0,97.0,90.0,97.0
90,98.0,98.0,95.0,25.0,82.0
91,59.0,61.0,98.0,60.0,53.0
92,93.0,47.0,89.0,98.0,5.0
93,82.0,98.0,73.0,79.0,95.0
94,95.0,60.0,83.0,94.0,26.0
95,87.0,75.0,98.0,96.0,14.000000000000002
96,85.0,94.0,95.0,24.0,1.0
97,89.0,57.00000000000001,84.0,98.0,34.0
98,99.0,97.0,95.0,1.0,15.0
99,98.0,28.999999999999996,94.0,32.0,55.00000000000001
100,91.0,99.0,86.0,43.0,70.0
101,72.0,33.0,66.0,49.0,64.0
102,71.0,79.0,91.0,73.0,95.0
103,71.0,5.0,92.0,11.0,97.0
104,78.0,85.0,54.0,3.0,89.0
105,98.0,73.0,98.0,97.0,23.0
106,93.0,7.000000000000001,87.0,56.00000000000001,53.0
107,97.0,51.0,92.0,39.0,77.0
108,82.0,98.0,92.0,55.00000000000001,43.0
109,89.0,80.0,98.0,1.0,21.0
110,55.00000000000001,86.0,70.0,17.0,40.0
111,95.0,75.0,76.0,82.0,98.0
112,55.00000000000001,95.0,90.0,98.0,10.0
113,66.0,82.0,83.0,28.999999999999996,52.0
114,90.0,87.0,56.00000000000001,4.0,51.0
115,84.0,57.99999999999999,74.0,95.0,10.0
116,73.0,81.0,92.0,48.0,86.0
117,72.0,94.0,93.0,30.0,1.0
118,86.0,96.0,96.0,92.0,16.0
119,98.0,62.0,96.0,84.0,67.0
120,90.0,19.0,88.0,99.0,97.0
121,96.0,71.0,97.0,94.0,53.0
122,78.0,91.0,98.0,28.999999999999996,63.0
123,63.0,67.0,89.0,96.0,61.0
124,85.0,59.0,99.0,28.999999999999996,43.0
125,82.0,93.0,90.0,89.0,64.0
126,54.0,77.0,99.0,73.0,52.0
127,90.0,22.0,94.0,28.000000000000004,54.0
128,96.0,70.0,70.0,99.0,45.0
129,61.0,93.0,99.0,90.0,4.0
130,98.0,79.0,97.0,11.0,47.0
131,86.0,81.0,96.0,60.0,96.0
132,72.0,68.0,84.0,99.0,8.0
133,95.0,92.0,81.0,98.0,59.0
134,93.0,99.0,81.0,53.0,94.0
135,88.0,57.99999999999999,86.0,25.0,38.0
136,70.0,99.0,90.0,71.0,93.0
137,87.0,82.0,83.0,15.0,65.0
138,97.0,90.0,94.0,44.0,95.0
139,97.0,81.0,93.0,10.0,16.0
140,71.0,91.0,63.0,80.0,14.000000000000002
141,76.0,96.0,86.0,98.0,98.0
142,98.0,53.0,89.0,96.0,55.00000000000001
143,98.0,69.0,66.0,48.0,24.0
144,97.0,94.0,98.0,75.0,57.99999999999999
145,99.0,41.0,90.0,92.0,95.0
146,80.0,56.00000000000001,95.0,94.0,89.0
147,78.0,90.0,96.0,43.0,83.0
148,33.0,74.0,99.0,88.0,17.0
149,98.0,73.0,69.0,73.0,71.0
150,98.0,95.0,86.0,77.0,19.0
151,97.0,99.0,87.0,56.00000000000001,37.0
152,70.0,67.0,94.0,21.0,35.0
153,93.0,64.0,88.0,82.0,76.0
154,39.0,92.0,89.0,91.0,47.0
155,55.00000000000001,96.0,92.0,1.0,51.0
156,81.0,99.0,91.0,99.0,36.0
157,79.0,91.0,98.0,7.000000000000001,73.0
158,97.0,75.0,75.0,42.0,53.0
159,98.0,98.0,84.0,3.0,28.999999999999996
160,97.0,81.0,95.0,16.0,96.0
161,99.0,80.0,87.0,51.0,19.0
162,94.0,28.999999999999996,98.0,33.0,4.0
163,93.0,87.0,96.0,60.0,65.0
164,97.0,21.0,98.0,73.0,57.00000000000001
165,81.0,1.0,87.0,91.0,88.0
166,52.0,43.0,99.0,99.0,9.0
167,60.0,99.0,99.0,47.0,98.0
168,84.0,86.0,97.0,3.0,97.0
169,94.0,86.0,99.0,50.0,31.0
170,78.0,20.0,79.0,69.0,23.0
171,98.0,92.0,80.0,42.0,93.0
172,98.0,72.0,76.0,19.0,96.0
173,76.0,94.0,52.0,57.00000000000001,94.0
174,64.0,48.0,92.0,99.0,82.0
175,80.0,42.0,97.0,13.0,96.0
176,67.0,79.0,49.0,48.0,57.99999999999999
177,96.0,15.0,59.0,99.0,99.0
178,97.0,77.0,93.0,81.0,46.0
179,87.0,96.0,96.0,12.0,12.0
180,95.0,64.0,98.0,64.0,87.0
181,93.0,63.0,71.0,82.0,74.0
182,98.0,21.0,97.0,38.0,66.0
183,96.0,99.0,54.0,10.0,56.00000000000001
184,65.0,35.0,73.0,98.0,4.0
185,88.0,54.0,98.0,99.0,84.0
186,99.0,99.0,59.0,45.0,43.0
187,94.0,45.0,87.0,62.0,11.0
188,95.0,67.0,50.0,38.0,94.0
189,99.0,35.0,88.0,47.0,99.0
190,94.0,91.0,87.0,98.0,87.0
191,66.0,82.0,70.0,19.0,83.0
192,99.0,77.0,88.0,54.0,87.0
193,98.0,87.0,97.0,11.0,56.00000000000001
194,98.0,76.0,74.0,49.0,57.99999999999999
195,94.0,98.0,97.0,72.0,33.0
196,94.0,81.0,94.0,61.0,52.0
197,99.0,77.0,88.0,26.0,16.0
198,93.0,70.0,99.0,83.0,79.0
199,98.0,63.0,94.0,44.0,51.0
200,99.0,82.0,97.0,81.0,19.0
201,99.0,38.0,76.0,82.0,21.0
202,99.0,6.0,82.0,40.0,35.0
203,97.0,90.0,88.0,57.00000000000001,27.0
204,95.0,79.0,98.0,52.0,75.0
205,62.0,65.0,97.0,53.0,2.0
206,57.99999999999999,82.0,99.0,36.0,95.0
207,77.0,45.0,75.0,49.0,50.0
208,83.0,98.0,95.0,94.0,30.0
209,93.0,95.0,82.0,0.0,12.0
210,99.0,98.0,43.0,57.00000000000001,7.000000000000001
211,98.0,86.0,66.0,52.0,84.0
212,99.0,85.0,86.0,97.0,37.0
213,63.0,87.0,97.0,46.0,65.0
214,90.0,80.0,82.0,37.0,3.0
215,65.0,74.0,85.0,23.0,44.0
216,99.0,99.0,74.0,12.0,83.0
217,99.0,44.0,94.0,68.0,77.0
218,55.00000000000001,83.0,99.0,65.0,65.0
219,84.0,57.99999999999999,91.0,47.0,90.0
220,84.0,83.0,94.0,85.0,93.0
221,75.0,52.0,87.0,87.0,61.0
222,97.0,89.0,79.0,90.0,53.0
223,89.0,62.0,97.0,71.0,4.0
224,61.0,81.0,85.0,72.0,61.0
225,74.0,63.0,81.0,98.0,99.0
226,92.0,88.0,78.0,72.0,23.0
227,65.0,66.0,96.0,89.0,41.0
228,97.0,98.0,94.0,99.0,67.0
229,70.0,88.0,95.0,53.0,49.0
230,59.0,48.0,97.0,99.0,71.0
231,70.0,93.0,77.0,28.999999999999996,73.0
232,99.0,79.0,95.0,83.0,28.999999999999996
233,81.0,27.0,99.0,80.0,9.0
234,99.0,98.0,97.0,56.00000000000001,46.0
235,99.0,64.0,76.0,37.0,3.0
236,90.0,83.0,99.0,40.0,75.0
237,95.0,99.0,88.0,76.0,97.0
238,99.0,66.0,97.0,16.0,67.0
239,90.0,71.0,97.0,88.0,60.0
240,97.0,96.0,99.0,82.0,46.0
241,88.0,11.0,81.0,82.0,86.0
242,81.0,80.0,98.0,74.0,32.0
243,88.0,90.0,78.0,26.0,12.0
244,98.0,81.0,97.0,54.0,42.0
245,97.0,43.0,81.0,8.0,99.0
246,98.0,54.0,96.0,22.0,99.0
247,77.0,96.0,99.0,73.0,41.0
248,99.0,94.0,94.0,93.0,87.0
249,72.0,30.0,92.0,3.0,14.000000000000002
250,85.0,75.0,84.0,99.0,14.000000000000002
251,92.0,25.0,88.0,84.0,31.0
252,63.0,96.0,89.0,47.0,95.0
253,99.0,68.0,84.0,86.0,90.0
254,97.0,98.0,99.0,97.0,1.0
255,78.0,76.0,51.0,46.0,49.0
256,93.0,55.00000000000001,93.0,85.0,26.0
257,74.0,84.0,93.0,28.000000000000004,95.0
258,80.0,43.0,68.0,95.0,99.0
259,97.0,71.0,96.0,77.0,61.0
260,73.0,74.0,73.0,60.0,42.0
261,93.0,64.0,94.0,65.0,43.0
262,87.0,57.00000000000001,91.0,14.000000000000002,3.0
263,89.0,81.0,68.0,84.0,93.0
264,74.0,87.0,85.0,73.0,20.0
265,99.0,79.0,94.0,30.0,90.0
266,99.0,91.0,95.0,57.99999999999999,46.0
267,86.0,13.0,85.0,57.99999999999999,18.0
268,77.0,67.0,98.0,75.0,3.0
269,86.0,66.0,86.0,35.0,86.0
270,91.0,22.0,78.0,98.0,11.0
271,99.0,57.00000000000001,86.0,92.0,30.0
272,60.0,55.00000000000001,94.0,57.99999999999999,17.0
273,99.0,88.0,97.0,34.0,7.000000000000001
274,95.0,83.0,93.0,96.0,98.0
275,90.0,94.0,99.0,43.0,43.0
276,97.0,76.0,66.0,8.0,11.0
277,85.0,96.0,89.0,93.0,14.000000000000002
278,98.0,25.0,95.0,47.0,74.0
279,99.0,36.0,98.0,95.0,15.0
280,99.0,89.0,63.0,48.0,66.0
281,82.0,94.0,85.0,64.0,31.0
282,89.0,44.0,91.0,16.0,28.000000000000004
283,99.0,94.0,81.0,82.0,97.0
284,59.0,86.0,52.0,98.0,5.0
285,95.0,48.0,87.0,46.0,31.0
286,42.0,84.0,98.0,76.0,15.0
287,74.0,62.0,99.0,52.0,17.0
288,97.0,87.0,99.0,32.0,17.0
289,82.0,83.0,97.0,88.0,26.0
290,89.0,68.0,94.0,77.0,89.0
291,87.0,50.0,76.0,98.0,33.0
292,98.0,94.0,98.0,13.0,60.0
293,74.0,92.0,51.0,57.99999999999999,21.0
294,99.0,72.0,68.0,9.0,21.0
295,90.0,80.0,91.0,94.0,98.0
296,90.0,84.0,92.0,72.0,66.0
297,92.0,35.0,94.0,52.0,26.0
298,77.0,57.00000000000001,88.0,49.0,35.0
299,83.0,39.0,93.0,23.0,46.0
300,68.0,60.0,98.0,71.0,41.0
301,90.0,83.0,96.0,31.0,6.0
302,79.0,78.0,78.0,46.0,20.0
303,88.0,88.0,93.0,80.0,80.0
