,HPTN084,TDF2,Partners,VOICE,FEM
304,99.0,77.0,93.0,69.0,47.0
305,99.0,44.0,87.0,42.0,20.0
306,87.0,18.0,46.0,78.0,17.0
307,94.0,81.0,81.0,49.0,12.0
308,99.0,65.0,90.0,97.0,4.0
309,92.0,65.0,76.0,22.0,99.0
310,69.0,95.0,76.0,69.0,25.0
311,72.0,27.0,83.0,18.0,78.0
312,98.0,89.0,89.0,3.0,89.0
313,97.0,70.0,96.0,26.0,75.0
314,71.0,42.0,82.0,53.0,4.0
315,98.0,1.0,71.0,77.0,84.0
316,95.0,79.0,88.0,94.0,31.0
317,74.0,70.0,99.0,43.0,96.0
318,75.0,82.0,99.0,32.0,86.0
319,96.0,82.0,51.0,83.0,33.0
320,85.0,22.0,91.0,13.0,52.0
321,63.0,60.0,95.0,6.0,53.0
322,97.0,79.0,96.0,64.0,88.0
323,99.0,65.0,98.0,96.0,94.0
324,92.0,52.0,51.0,50.0,28.000000000000004
325,80.0,35.0,61.0,98.0,56.00000000000001
326,98.0,84.0,81.0,81.0,65.0
327,82.0,33.0,97.0,4.0,33.0
328,73.0,95.0,97.0,89.0,12.0
329,89.0,46.0,66.0,30.0,0.0
330,80.0,41.0,94.0,26.0,34.0
331,60.0,83.0,68.0,99.0,67.0
332,76.0,83.0,96.0,27.0,98.0
333,98.0,34.0,93.0,60.0,79.0
334,90.0,63.0,82.0,85.0,23.0
335,53.0,92.0,88.0,9.0,19.0
336,90.0,54.0,89.0,90.0,78.0
337,98.0,15.0,93.0,63.0,21.0
338,94.0,67.0,99.0,97.0,51.0
339,99.0,90.0,89.0,28.000000000000004,64.0
340,99.0,85.0,80.0,18.0,85.0
341,99.0,75.0,77.0,99.0,98.0
342,99.0,63.0,92.0,9.0,13.0
343,28.999999999999996,61.0,98.0,72.0,41.0
344,97.0,42.0,90.0,89.0,76.0
345,82.0,86.0,89.0,25.0,28.000000000000004
346,76.0,86.0,99.0,86.0,28.999999999999996
347,99.0,92.0,97.0,27.0,30.0
348,61.0,81.0,83.0,57.99999999999999,5.0
349,93.0,91.0,99.0,11.0,97.0
350,86.0,88.0,96.0,91.0,56.00000000000001
351,97.0,84.0,99.0,99.0,79.0
352,99.0,93.0,98.0,67.0,1.0
353,99.0,79.0,82.0,82.0,20.0
354,98.0,10.0,86.0,39.0,40.0
355,88.0,61.0,83.0,98.0,32.0
356,98.0,47.0,97.0,87.0,89.0
357,99.0,74.0,96.0,90.0,11.0
358,79.0,81.0,97.0,15.0,25.0
359,79.0,97.0,93.0,42.0,34.0
360,43.0,79.0,98.0,46.0,42.0
361,85.0,97.0,97.0,57.00000000000001,43.0
362,69.0,42.0,81.0,31.0,10.0
363,70.0,87.0,76.0,49.0,77.0
364,85.0,88.0,96.0,36.0,16.0
365,94.0,51.0,97.0,83.0,66.0
366,90.0,93.0,87.0,83.0,84.0
367,99.0,92.0,87.0,90.0,98.0
368,90.0,67.0,88.0,99.0,35.0
369,87.0,76.0,92.0,26.0,52.0
370,87.0,97.0,78.0,49.0,1.0
371,98.0,93.0,88.0,6.0,7.000000000000001
372,94.0,39.0,98.0,61.0,21.0
373,86.0,82.0,64.0,93.0,88.0
374,67.0,73.0,69.0,60.0,98.0
375,82.0,98.0,95.0,76.0,98.0
376,99.0,61.0,92.0,55.00000000000001,96.0
377,93.0,40.0,98.0,2.0,93.0
378,50.0,46.0,99.0,68.0,74.0
379,65.0,23.0,89.0,27.0,87.0
380,95.0,47.0,85.0,95.0,53.0
381,99.0,82.0,89.0,74.0,89.0
382,91.0,71.0,99.0,19.0,4.0
383,94.0,83.0,91.0,99.0,60.0
384,64.0,18.0,81.0,77.0,14.000000000000002
385,72.0,97.0,93.0,91.0,1.0
386,90.0,69.0,98.0,68.0,38.0
387,99.0,95.0,97.0,98.0,54.0
388,99.0,93.0,97.0,33.0,13.0
389,82.0,87.0,67.0,95.0,99.0
390,74.0,70.0,63.0,90.0,98.0
391,96.0,94.0,59.0,37.0,94.0
392,98.0,83.0,97.0,56.00000000000001,36.0
393,70.0,84.0,99.0,96.0,51.0
394,82.0,33.0,32.0,74.0,99.0
395,99.0,97.0,98.0,82.0,48.0
396,99.0,64.0,90.0,54.0,45.0
397,65.0,2.0,88.0,60.0,12.0
398,99.0,34.0,99.0,93.0,39.0
399,74.0,92.0,94.0,11.0,96.0
400,75.0,91.0,96.0,43.0,96.0
401,47.0,61.0,86.0,24.0,92.0
402,95.0,97.0,93.0,93.0,10.0
403,73.0,83.0,87.0,30.0,98.0
404,98.0,63.0,37.0,27.0,89.0
405,80.0,87.0,94.0,97.0,7.000000000000001
406,82.0,80.0,66.0,78.0,31.0
407,89.0,65.0,90.0,40.0,14.000000000000002
408,90.0,26.0,74.0,4.0,57.00000000000001
409,99.0,83.0,99.0,73.0,28.999999999999996
410,52.0,99.0,98.0,98.0,64.0
411,89.0,93.0,89.0,91.0,3.0
412,63.0,75.0,97.0,82.0,67.0
413,81.0,45.0,99.0,40.0,19.0
414,88.0,69.0,66.0,14.000000000000002,82.0
415,90.0,79.0,96.0,48.0,65.0
416,94.0,64.0,89.0,23.0,74.0
417,99.0,52.0,95.0,62.0,4.0
418,63.0,64.0,98.0,57.00000000000001,35.0
419,54.0,55.00000000000001,65.0,94.0,98.0
420,91.0,20.0,67.0,56.00000000000001,7.000000000000001
421,78.0,97.0,84.0,81.0,96.0
422,79.0,60.0,97.0,34.0,50.0
423,45.0,96.0,98.0,33.0,84.0
424,99.0,16.0,99.0,64.0,33.0
425,99.0,68.0,98.0,95.0,41.0
426,95.0,45.0,92.0,6.0,97.0
427,90.0,11.0,99.0,43.0,30.0
428,98.0,5.0,89.0,68.0,27.0
429,60.0,69.0,88.0,99.0,64.0
430,83.0,70.0,90.0,30.0,66.0
431,75.0,59.0,76.0,20.0,99.0
432,68.0,73.0,90.0,44.0,97.0
433,48.0,43.0,73.0,49.0,99.0
434,88.0,95.0,98.0,5.0,54.0
435,75.0,90.0,95.0,54.0,97.0
436,65.0,91.0,99.0,95.0,79.0
437,83.0,46.0,92.0,97.0,45.0
438,74.0,85.0,65.0,68.0,37.0
439,97.0,71.0,96.0,95.0,11.0
440,69.0,78.0,33.0,94.0,30.0
441,95.0,59.0,91.0,64.0,12.0
442,73.0,94.0,73.0,12.0,81.0
443,95.0,94.0,91.0,74.0,95.0
444,98.0,79.0,96.0,15.0,9.0
445,99.0,74.0,99.0,43.0,63.0
446,89.0,59.0,93.0,17.0,31.0
447,73.0,62.0,70.0,89.0,4.0
448,81.0,67.0,79.0,98.0,8.0
449,97.0,82.0,92.0,38.0,38.0
450,87.0,62.0,99.0,54.0,98.0
451,56.00000000000001,88.0,93.0,13.0,93.0
452,98.0,38.0,90.0,32.0,28.000000000000004
453,84.0,66.0,96.0,30.0,73.0
454,95.0,69.0,97.0,36.0,74.0
455,60.0,75.0,69.0,13.0,5.0
456,74.0,99.0,52.0,10.0,12.0
457,74.0,69.0,91.0,33.0,26.0
458,54.0,80.0,98.0,10.0,8.0
459,79.0,88.0,93.0,42.0,61.0
460,96.0,13.0,73.0,65.0,20.0
461,84.0,96.0,91.0,10.0,1.0
462,97.0,94.0,83.0,17.0,95.0
463,87.0,20.0,99.0,41.0,54.0
464,70.0,95.0,89.0,41.0,24.0
465,96.0,50.0,85.0,98.0,9.0
466,91.0,61.0,98.0,80.0,72.0
467,80.0,74.0,99.0,11.0,9.0
468,76.0,20.0,50.0,94.0,10.0
469,99.0,44.0,81.0,6.0,61.0
470,94.0,82.0,95.0,35.0,99.0
471,99.0,64.0,98.0,10.0,97.0
472,95.0,31.0,66.0,4.0,10.0
473,84.0,45.0,98.0,94.0,72.0
474,99.0,96.0,99.0,39.0,92.0
475,80.0,80.0,92.0,43.0,94.0
476,59.0,65.0,51.0,93.0,97.0
477,62.0,61.0,99.0,75.0,48.0
478,90.0,73.0,99.0,98.0,95.0
479,97.0,52.0,99.0,34.0,20.0
480,83.0,77.0,98.0,91.0,87.0
481,94.0,20.0,87.0,61.0,40.0
482,81.0,61.0,79.0,27.0,82.0
483,92.0,85.0,92.0,27.0,16.0
484,74.0,62.0,73.0,32.0,23.0
485,74.0,57.00000000000001,96.0,92.0,31.0
486,99.0,66.0,95.0,55.00000000000001,42.0
487,75.0,64.0,98.0,47.0,12.0
488,93.0,55.00000000000001,99.0,74.0,46.0
489,77.0,76.0,87.0,45.0,1.0
490,50.0,99.0,93.0,16.0,88.0
491,91.0,71.0,94.0,90.0,49.0
492,87.0,81.0,88.0,73.0,12.0
493,97.0,65.0,98.0,56.00000000000001,99.0
494,98.0,36.0,96.0,25.0,0.0
495,71.0,79.0,82.0,5.0,31.0
496,92.0,87.0,95.0,23.0,42.0
497,78.0,78.0,90.0,90.0,97.0
498,83.0,48.0,85.0,39.0,94.0
499,99.0,70.0,98.0,46.0,96.0
500,62.0,88.0,87.0,37.0,7.000000000000001
501,98.0,69.0,99.0,7.000000000000001,22.0
502,16.0,74.0,89.0,1.0,89.0
503,99.0,84.0,92.0,99.0,44.0
504,75.0,98.0,87.0,7.000000000000001,72.0
505,52.0,76.0,59.0,49.0,54.0
506,99.0,66.0,95.0,84.0,93.0
507,67.0,75.0,97.0,93.0,61.0
508,87.0,9.0,83.0,60.0,0.0
509,95.0,83.0,94.0,8.0,57.00000000000001
510,91.0,86.0,96.0,74.0,13.0
511,89.0,61.0,95.0,41.0,33.0
512,99.0,53.0,77.0,73.0,89.0
513,95.0,88.0,92.0,96.0,3.0
514,99.0,89.0,86.0,98.0,48.0
515,93.0,21.0,98.0,94.0,53.0
516,72.0,76.0,98.0,43.0,26.0
517,59.0,77.0,98.0,55.00000000000001,5.0
518,74.0,94.0,94.0,28.999999999999996,9.0
519,99.0,86.0,89.0,92.0,95.0
520,99.0,78.0,97.0,94.0,88.0
521,96.0,94.0,99.0,70.0,89.0
522,87.0,99.0,99.0,10.0,9.0
523,97.0,82.0,96.0,77.0,56.00000000000001
524,76.0,25.0,82.0,98.0,57.99999999999999
525,98.0,35.0,97.0,71.0,43.0
526,99.0,99.0,96.0,44.0,56.00000000000001
527,98.0,71.0,98.0,61.0,83.0
528,76.0,65.0,89.0,76.0,15.0
529,78.0,15.0,82.0,91.0,60.0
530,71.0,68.0,97.0,41.0,43.0
531,93.0,99.0,84.0,81.0,89.0
532,60.0,98.0,93.0,6.0,48.0
533,98.0,91.0,89.0,95.0,4.0
534,99.0,63.0,78.0,66.0,98.0
535,98.0,93.0,96.0,51.0,81.0
536,84.0,78.0,90.0,4.0,96.0
537,98.0,94.0,94.0,4.0,19.0
538,93.0,75.0,97.0,83.0,71.0
539,84.0,52.0,92.0,41.0,37.0
540,74.0,95.0,90.0,88.0,43.0
541,63.0,80.0,61.0,65.0,46.0
542,98.0,51.0,54.0,96.0,26.0
543,97.0,47.0,62.0,21.0,25.0
544,99.0,51.0,96.0,93.0,35.0
545,87.0,75.0,89.0,4.0,50.0
546,71.0,48.0,85.0,96.0,60.0
547,68.0,81.0,89.0,27.0,91.0
548,77.0,83.0,96.0,30.0,5.0
549,83.0,28.999999999999996,87.0,11.0,65.0
550,74.0,83.0,88.0,95.0,7.000000000000001
551,83.0,74.0,90.0,14.000000000000002,42.0
552,91.0,76.0,91.0,96.0,62.0
553,78.0,41.0,98.0,80.0,88.0
554,60.0,55.00000000000001,94.0,23.0,80.0
555,94.0,87.0,63.0,99.0,37.0
556,99.0,62.0,98.0,20.0,80.0
557,99.0,59.0,81.0,48.0,65.0
558,99.0,59.0,87.0,42.0,32.0
559,81.0,43.0,99.0,19.0,4.0
560,80.0,80.0,95.0,76.0,87.0
561,74.0,99.0,94.0,40.0,49.0
562,93.0,91.0,99.0,35.0,24.0
563,89.0,72.0,57.99999999999999,22.0,4.0
564,77.0,26.0,96.0,51.0,8.0
565,99.0,94.0,84.0,99.0,6.0
566,75.0,34.0,51.0,99.0,41.0
567,95.0,52.0,69.0,93.0,75.0
568,92.0,38.0,84.0,55.00000000000001,38.0
569,93.0,83.0,34.0,84.0,23.0
570,99.0,90.0,88.0,97.0,44.0
571,95.0,60.0,67.0,80.0,50.0
572,90.0,39.0,93.0,25.0,45.0
573,85.0,82.0,90.0,31.0,56.00000000000001
574,99.0,67.0,83.0,91.0,94.0
575,91.0,63.0,69.0,59.0,30.0
576,82.0,77.0,97.0,78.0,48.0
577,89.0,98.0,44.0,28.999999999999996,1.0
578,86.0,82.0,86.0,8.0,74.0
579,96.0,81.0,71.0,75.0,40.0
580,94.0,83.0,97.0,20.0,60.0
581,99.0,89.0,95.0,34.0,71.0
582,77.0,81.0,98.0,43.0,32.0
583,96.0,53.0,72.0,45.0,57.99999999999999
584,91.0,90.0,98.0,99.0,47.0
585,98.0,94.0,88.0,2.0,1.0
586,99.0,86.0,86.0,60.0,98.0
587,99.0,87.0,61.0,93.0,9.0
588,99.0,87.0,93.0,27.0,9.0
589,89.0,99.0,89.0,76.0,9.0
590,96.0,96.0,83.0,93.0,52.0
591,93.0,85.0,87.0,65.0,32.0
592,99.0,92.0,95.0,43.0,32.0
593,95.0,90.0,95.0,33.0,18.0
594,97.0,37.0,94.0,82.0,1.0
595,81.0,83.0,99.0,12.0,25.0
596,65.0,97.0,99.0,69.0,87.0
597,91.0,94.0,95.0,96.0,77.0
598,96.0,70.0,88.0,1.0,88.0
599,97.0,99.0,86.0,24.0,98.0
600,98.0,96.0,91.0,86.0,20.0
601,91.0,50.0,88.0,28.000000000000004,1.0
602,90.0,82.0,78.0,57.00000000000001,27.0
603,86.0,79.0,96.0,95.0,78.0
604,99.0,99.0,95.0,82.0,85.0
605,74.0,86.0,98.0,16.0,72.0
606,67.0,98.0,37.0,14.000000000000002,32.0
607,50.0,85.0,88.0,80.0,27.0
608,72.0,85.0,97.0,28.000000000000004,65.0
609,98.0,75.0,96.0,82.0,26.0
610,50.0,42.0,78.0,81.0,8.0
