FTC,TFV,eps
0,0.00000E+00,1
0,1.00000E-03,0.989325008881242
0,1.12996E-03,0.987953692780892
0,1.27680E-03,0.98640852603245
0,1.44273E-03,0.984668097465318
0,1.63022E-03,0.982708529674461
0,1.84207E-03,0.980503241414045
0,2.08146E-03,0.978022700087094
0,2.35195E-03,0.975234168029586
0,2.65760E-03,0.972101447816189
0,3.00297E-03,0.968584633703675
0,3.39322E-03,0.964639878622523
0,3.83419E-03,0.960219188861785
0,4.33246E-03,0.955270261785676
0,4.89549E-03,0.949736385556841
0,5.53168E-03,0.943556423860975
0,6.25055E-03,0.936664912898827
0,7.06284E-03,0.928992302212897
0,7.98070E-03,0.92046537490082
0,9.01783E-03,0.91100788594385
0,1.01897E-02,0.900541459082468
0,1.15140E-02,0.888986782058615
0,1.30103E-02,0.87626513610817
0,1.47010E-02,0.862300287210928
0,1.66115E-02,0.847020752667024
0,1.87702E-02,0.830362436121082
0,2.12095E-02,0.812271596663464
0,2.39658E-02,0.792708083298256
0,2.70803E-02,0.771648726137943
0,3.05995E-02,0.749090732796016
0,3.45761E-02,0.725054896778245
0,3.90694E-02,0.699588389872458
0,4.41467E-02,0.672766889299568
0,4.98838E-02,0.644695789586486
0,5.63664E-02,0.61551027453749
0,6.36915E-02,0.585374079507835
0,7.19686E-02,0.554476857603818
0,8.13213E-02,0.523030169695105
0,9.18894E-02,0.491262236533595
0,1.03831E-01,0.459411707341261
0,1.17324E-01,0.427720796950103
0,1.32571E-01,0.3964282083984
0,1.49799E-01,0.365762279694334
0,1.69267E-01,0.335934768767226
0,1.91264E-01,0.307135623363047
0,2.16119E-01,0.279528983275423
0,2.44205E-01,0.25325054560064
0,2.75941E-01,0.228406305719734
0,3.11801E-01,0.205072581831006
0,3.52321E-01,0.183297149581531
0,3.98107E-01,0.163101261189908
0,4.49843E-01,0.144482300997428
0,5.08303E-01,0.127416833227957
0,5.74359E-01,0.111863821907583
0,6.49000E-01,0.097767840338946
0,7.33341E-01,0.085062131345724
0,8.28643E-01,0.073671423812147
0,9.36329E-01,0.063514451402624
0,1.05801E+00,0.054506152875885
0,1.19550E+00,0.046559558665139
0,1.35087E+00,0.039587385145186
0,1.52642E+00,0.033503366945233
0,1.72478E+00,0.02822336014335
0,1.94893E+00,0.023666246937417
0,2.20220E+00,0.01975466731093
0,2.48839E+00,0.016415597088963
0,2.81177E+00,0.013580786099944
0,3.17717E+00,0.011187065962101
0,3.59006E+00,0.009176534813392
0,4.05661E+00,0.007496626105262
0,4.58379E+00,0.006100069979723
0,5.17947E+00,0.004944758092743
0,5.85257E+00,0.003993525310836
0,6.61315E+00,0.003213863854117
0,7.47256E+00,0.002577586742545
0,8.44366E+00,0.002060457612612
0,9.54095E+00,0.001641803120656
0,1.07809E+01,0.001304122414802
0,1.21819E+01,0.001032705815059
0,1.37650E+01,0.000815272192347
0,1.55538E+01,0.000641631857781
0,1.75751E+01,0.000503379279943
0,1.98591E+01,0.000393617784491
0,2.24399E+01,0.000306716631833
0,2.53561E+01,0.000238099531661
0,2.86512E+01,0.000184062712724
0,3.23746E+01,0.000141620071722
0,3.65818E+01,0.000108372613546
0,4.13358E+01,8.23993018692983E-05
0,4.67076E+01,6.21665050415848E-05
0,5.27775E+01,4.64533979884825E-05
0,5.96362E+01,3.42909305663907E-05
0,6.73863E+01,2.49122787307508E-05
0,7.61435E+01,1.77130665573475E-05
0,8.60387E+01,1.22201336676204E-05
0,9.72199E+01,8.06827669876661E-06
0,1.09854E+02,4.98487361520523E-06
0,1.24130E+02,2.78008955147651E-06
0,1.40262E+02,1.32849954688913E-06
0,1.58489E+02,5.13184753583647E-07
0.001,0.00000E+00,0.997208139740466
0.001,1.00000E-03,0.986586379352558
0.001,1.12996E-03,0.985221865159649
0.001,1.27680E-03,0.983684352779628
0.001,1.44273E-03,0.981952533345936
0.001,1.63022E-03,0.980002642807926
0.001,1.84207E-03,0.977808225182791
0.001,2.08146E-03,0.975339885873372
0.001,2.35195E-03,0.972565038714653
0.001,2.65760E-03,0.969447651929976
0.001,3.00297E-03,0.965948000054745
0.001,3.39322E-03,0.962022431165247
0.001,3.83419E-03,0.957623161469414
0.001,4.33246E-03,0.952698112491841
0.001,4.89549E-03,0.947190809704847
0.001,5.53168E-03,0.941040365458996
0.001,6.25055E-03,0.934181573324543
0.001,7.06284E-03,0.926545145245906
0.001,7.98070E-03,0.918058126896234
0.001,9.01783E-03,0.90864452980732
0.001,1.01897E-02,0.898226220584414
0.001,1.15140E-02,0.886724106957163
0.001,1.30103E-02,0.874059656565664
0.001,1.47010E-02,0.860156776120995
0.001,1.66115E-02,0.844944064794115
0.001,1.87702E-02,0.828357435423378
0.001,2.12095E-02,0.810343069847846
0.001,2.39658E-02,0.790860640547344
0.001,2.70803E-02,0.769886691034193
0.001,3.05995E-02,0.747418024690578
0.001,3.45761E-02,0.723474910115488
0.001,3.90694E-02,0.698103876148795
0.001,4.41467E-02,0.671379848238346
0.001,4.98838E-02,0.643407376570362
0.001,5.63664E-02,0.614320731195157
0.001,6.36915E-02,0.584282693496398
0.001,7.19686E-02,0.553481956043971
0.001,8.13213E-02,0.522129148498475
0.001,9.18894E-02,0.490451625219376
0.001,1.03831E-01,0.458687266176098
0.001,1.17324E-01,0.427077640708828
0.001,1.32571E-01,0.395860949065145
0.001,1.49799E-01,0.365265179254655
0.001,1.69267E-01,0.335501893004725
0.001,1.91264E-01,0.306760988244086
0.001,2.16119E-01,0.279206686923565
0.001,2.44205E-01,0.252974880775732
0.001,2.75941E-01,0.228171849832904
0.001,3.11801E-01,0.204874263571385
0.001,3.52321E-01,0.183130292987116
0.001,3.98107E-01,0.162961609329361
0.001,4.49843E-01,0.144366022292682
0.001,5.08303E-01,0.127320513860497
0.001,5.74359E-01,0.111784447785737
0.001,6.49000E-01,0.097702771855772
0.001,7.33341E-01,0.085009073728465
0.001,8.28643E-01,0.073628395346301
0.001,9.36329E-01,0.063479751279524
0.001,1.05801E+00,0.054478329914776
0.001,1.19550E+00,0.046537381731114
0.001,1.35087E+00,0.039569815738389
0.001,1.52642E+00,0.033489534176854
0.001,1.72478E+00,0.028212538133338
0.001,1.94893E+00,0.023657834555406
0.001,2.20220E+00,0.019748170120583
0.001,2.48839E+00,0.016410611331625
0.001,2.81177E+00,0.013576984552134
0.001,3.17717E+00,0.011184185511582
0.001,3.59006E+00,0.009174365612113
0.001,4.05661E+00,0.007495002169275
0.001,4.58379E+00,0.006098861114039
0.001,5.17947E+00,0.004943863022997
0.001,5.85257E+00,0.003992865904727
0.001,6.61315E+00,0.003213380315708
0.001,7.47256E+00,0.002577233663256
0.001,8.44366E+00,0.002060200765303
0.001,9.54095E+00,0.001641616888105
0.001,1.07809E+01,0.001303987751139
0.001,1.21819E+01,0.001032608647922
0.001,1.37650E+01,0.000815202183918
0.001,1.55538E+01,0.000641581453835
0.001,1.75751E+01,0.000503342986889
0.001,1.98591E+01,0.00039359162459
0.001,2.24399E+01,0.000306697736026
0.001,2.53561E+01,0.00023808583752
0.001,2.86512E+01,0.000184052741929
0.001,3.23746E+01,0.00014161276714
0.001,3.65818E+01,0.000108367220626
0.001,4.13358E+01,8.23952827548966E-05
0.001,4.67076E+01,6.21634766660178E-05
0.001,5.27775E+01,4.64510876789651E-05
0.001,5.96362E+01,3.42891443737745E-05
0.001,6.73863E+01,2.49108790148783E-05
0.001,7.61435E+01,1.77119563581882E-05
0.001,8.60387E+01,1.22192461760402E-05
0.001,9.72199E+01,8.06756871676119E-06
0.001,1.09854E+02,4.98432193447184E-06
0.001,1.24130E+02,2.77968733829157E-06
0.001,1.40262E+02,1.3282449888386E-06
0.001,1.58489E+02,5.13057752331744E-07
0.001129955198424,0.00000E+00,0.996846341779048
0.001129955198424,1.00000E-03,0.986231470319605
0.001129955198424,1.12996E-03,0.984867836424689
0.001129955198424,1.27680E-03,0.983331314672933
0.001129955198424,1.44273E-03,0.981600609439996
0.001129955198424,1.63022E-03,0.979651971348209
0.001129955198424,1.84207E-03,0.977458960629746
0.001129955198424,2.08146E-03,0.974992200551821
0.001129955198424,2.35195E-03,0.972219124562086
0.001129955198424,2.65760E-03,0.969103722329367
0.001129955198424,3.00297E-03,0.965606291729873
0.001129955198424,3.39322E-03,0.96168320610716
0.001129955198424,3.83419E-03,0.957286708851239
0.001129955198424,4.33246E-03,0.952364750515476
0.001129955198424,4.89549E-03,0.946860887306894
0.001129955198424,5.53168E-03,0.940714263785428
0.001129955198424,6.25055E-03,0.933859706863143
0.001129955198424,7.06284E-03,0.92622796248448
0.001129955198424,7.98070E-03,0.917746110352919
0.001129955198424,9.01783E-03,0.908338195259704
0.001129955198424,1.01897E-02,0.897926115308054
0.001129955198424,1.15140E-02,0.886430806775236
0.001129955198424,1.30103E-02,0.873773761513335
0.001129955198424,1.47010E-02,0.859878904544965
0.001129955198424,1.66115E-02,0.844674845744569
0.001129955198424,1.87702E-02,0.828097499255981
0.001129955198424,2.12095E-02,0.810093037040991
0.001129955198424,2.39658E-02,0.790621108855037
0.001129955198424,2.70803E-02,0.769658221235412
0.001129955198424,3.05995E-02,0.747201125353982
0.001129955198424,3.45761E-02,0.723270021962459
0.001129955198424,3.90694E-02,0.697911356748992
0.001129955198424,4.41467E-02,0.671199957889672
0.001129955198424,4.98838E-02,0.643240266275554
0.001129955198424,5.63664E-02,0.614166433629292
0.001129955198424,6.36915E-02,0.584141117749954
0.001129955198424,7.19686E-02,0.553352886721683
0.001129955198424,8.13213E-02,0.522012249467637
0.001129955198424,9.18894E-02,0.490346447959383
0.001129955198424,1.03831E-01,0.458593262322714
0.001129955198424,1.17324E-01,0.426994178057671
0.001129955198424,1.32571E-01,0.395787330041412
0.001129955198424,1.49799E-01,0.365200660703488
0.001129955198424,1.69267E-01,0.335445706124523
0.001129955198424,1.91264E-01,0.306712357570652
