Metric,1,2,3,4,5,6,7
Median,57.32142857142860,87.68675595238100,96.42782738095240,98.21354166666670,99.99925595238100,99.99925595238100,99.99925595238100
Average,58.10755877976190,83.71472767857150,93.01222767857160,96.99397247023840,98.6081287202387,99.43083928571490,99.896758928572
p75,70.60435267857140,94.6421130952381,98.21354166666670,99.99925595238100,99.99925595238100,99.99925595238100,99.99925595238100
p25,45.95982142857140,76.49925595238100,91.40792410714290,96.42782738095240,98.21354166666670,99.99925595238100,99.99925595238100
p5,29.23076636904760,55.43709077380950,74.58604910714290,87.47023809523810,95.28292410714290,98.21354166666670,99.99925595238100
p95,88.21391369047620,99.96941964285720,99.99925595238100,99.99925595238100,99.99925595238100,99.99925595238100,99.99925595238100
